run_id,scan_id,target,target_ip,server_type,source,rule_id,category,severity,status,check_status,title,description,recommendation,wstg_id,cwe_id,cvss,cves,evidence_observed,evidence_raw_path
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,nmap,G1,fingerprinting,medium,open,fail,Service Version Disclosure: Apache httpd 2.4.52,Nmap identified explicit version: Apache httpd 2.4.52 on port 80,Review and apply hardening via Ansible.,WSTG-CONF-02,CWE-200,5.3,,Apache httpd 2.4.52 (port 80),runs\run_20260425_174922_de985e\apache\raw\nmap.xml
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,nmap,CVE-Apache-2.4.52-Request-Smuggling,components,high,open,,Known vulnerable version detected: Apache httpd 2.4.52,Detected service version matches local CVE intelligence cache entries.,Review and apply hardening via Ansible.,WSTG-CONF-08,CWE-444,9.8,CVE-2023-25690,Apache httpd 2.4.52,runs\run_20260425_174922_de985e\apache\raw\nmap.xml
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,nmap,G3,methods,medium,open,fail,TRACE Method Detected via Nmap,Nmap http-methods script detected TRACE as a supported HTTP method. TRACE enables Cross-Site Tracing (XST) attacks and should be disabled.,Review and apply hardening via Ansible.,WSTG-CONF-01,CWE-693,5.9,,"Supported Methods: OPTIONS HEAD GET POST TRACE
  Potentially risky methods: TRACE",runs\run_20260425_174922_de985e\apache\raw\nmap.xml
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,nmap,G4-CERT,tls,high,open,,Self-Signed TLS Certificate Detected,The TLS certificate on port 443 is self-signed (subject and issuer both 'vm-apache'). Self-signed certificates are not trusted by browsers and indicate missing CA-signed deployment.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,7.5,,"Subject CN=vm-apache, Issuer CN=vm-apache",runs\run_20260425_174922_de985e\apache\raw\nmap.xml
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,testssl,G4-CIPHER,tls,low,open,,TLS Issue: cipherlist_OBSOLETED,TLS misconfiguration detected: cipherlist_OBSOLETED.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-327,5.9,,offered,runs\run_20260425_174922_de985e\apache\raw\testssl.json
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,testssl,G4-CAA,tls,low,open,,TLS Issue: DNS_CAArecord,"No DNS CAA record is configured. This does not expose data directly, but allows any CA to issue certificates for the domain unless restricted.",Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-295,3.7,,TestSSL performed check 'DNS_CAArecord' and returned vague value: '--',runs\run_20260425_174922_de985e\apache\raw\testssl.json
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,testssl,G4-HSTS,tls,low,open,,TLS Issue: HSTS,HTTP Strict Transport Security (HSTS) is either not configured or configured improperly.,Review and apply hardening via Ansible.,WSTG-CRYP-03,CWE-523,5.4,,not offered,runs\run_20260425_174922_de985e\apache\raw\testssl.json
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,testssl,G5,headers,medium,open,fail,TLS Issue: security_headers,TLS misconfiguration detected: security_headers.,Review and apply hardening via Ansible.,WSTG-CONF-05,CWE-693,5.4,,TestSSL performed check 'security_headers' and returned vague value: '--',runs\run_20260425_174922_de985e\apache\raw\testssl.json
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,testssl,G4-VULN,tls,medium,open,,TLS Issue: BREACH,The server is vulnerable to the BREACH attack; HTTP compression on HTTPS responses can leak secret tokens.,Review and apply hardening via Ansible.,WSTG-CRYP-01,CWE-310,7.4,,"potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested",runs\run_20260425_174922_de985e\apache\raw\testssl.json
run_20260425_174922_de985e,run_20260425_174922_de985e,apache,192.168.56.10,apache,gobuster,G9,files,high,open,fail,Sensitive File Restricted: /.htaccess,Sensitive path exists but is access-controlled. Verify that access controls cannot be bypassed.,Review and apply hardening via Ansible.,WSTG-CONF-06,CWE-538,7.5,,/.htaccess (status 403),runs\run_20260425_174922_de985e\apache\raw\gobuster.json
